Lambda 	 AvgTaskDelay
         0.1	 1.249477059
        0.15	 1.427889466
         0.2	  1.66770328
        0.25	 2.002700907
         0.3	 2.492971231
        0.35	   3.3271197
         0.4	 5.036960864
        0.43	 7.160083088
        0.45	 9.962986214
        0.47	 16.91275758
        0.48	 24.86546588
        0.49	  52.2785461
