Lambda 	 AvgTaskDelay
         0.1	 1.316836941
        0.15	 1.535081562
         0.2	 1.833882447
        0.25	 2.248412361
         0.3	 2.877951482
        0.35	  3.92134187
         0.4	 6.004099616
        0.43	 8.698387699
        0.45	  12.3203631
        0.47	 20.40184646
        0.48	  30.8762918
        0.49	 63.30340508
