Lambda 	 AvgTaskDelay
         0.1	 1.125025014
        0.15	 1.212850096
         0.2	 1.334044159
        0.25	 1.500878013
         0.3	 1.748531353
        0.35	 2.170791974
         0.4	 3.005651829
        0.43	 4.077779948
        0.45	 5.532349703
        0.47	 8.808771897
        0.48	 13.19660585
        0.49	  25.4575616
