Lambda 	 AvgTaskDelay
         0.1	 1.121842797
        0.15	 1.208411215
         0.2	  1.34153074
        0.25	 1.503401093
         0.3	 1.760038752
        0.35	   2.1411432
         0.4	 3.038344172
        0.43	 4.207872193
        0.45	  5.60191309
        0.47	 9.279585453
        0.48	 11.85114679
        0.49	 21.08698405
