Lambda 	 AvgTaskDelay
         0.1	    1.319565
        0.15	 1.568378919
         0.2	 1.838451202
        0.25	 2.250129467
         0.3	 2.958042655
        0.35	 3.740728022
         0.4	 6.103959651
        0.43	 8.271657504
        0.45	  13.1291711
        0.47	 18.88458195
        0.48	 33.20122027
        0.49	 62.22740507
