Lambda 	 AvgTaskDelay
         0.1	  1.31845928
        0.15	 1.535197541
         0.2	 1.834683876
        0.25	 2.252370124
         0.3	  2.86573651
        0.35	 3.908968987
         0.4	 6.026800648
        0.43	 8.568674376
        0.45	  12.1747899
        0.47	 20.48370336
        0.48	 30.93993435
        0.49	 68.71672337
