Lambda 	 AvgTaskDelay
         0.1	 1.258321706
        0.15	 1.441862027
         0.2	 1.687716828
        0.25	 2.000517681
         0.3	 2.570270811
        0.35	  3.27715227
         0.4	 4.915504922
        0.43	  7.19121958
        0.45	 9.038949779
        0.47	 16.36080738
        0.48	 22.55076802
        0.49	 86.46836451
